nation,confederation,2021,2022,2023,2024,2025
England,EUROPE,24.357,21,23,17.375,29.464
Italy,EUROPE,16.285,15.714,22.357,21,21.875
Spain,EUROPE,19.5,18.428,16.571,16.062,23.892
Germany,EUROPE,15.214,16.214,17.125,19.357,18.421
France,EUROPE,7.916,18.416,12.583,16.25,17.928
Netherlands,EUROPE,9.2,19.2,13.5,10,15.25
Portugal,EUROPE,9.6,12.916,12.5,11,16.25
Belgium,EUROPE,6,6.6,14.2,14.4,15.65
Czechia,EUROPE,6.6,6.7,6.75,13.5,10.55
Türkiye,EUROPE,3.1,6.7,11.8,12,10.3
Norway,EUROPE,6.5,7.625,5.75,8,11.812
Greece,EUROPE,5.1,8,2.125,11.4,12.687
Austria,EUROPE,6.7,10.4,4.9,4.8,9.65
Scotland,EUROPE,8.5,7.9,3.5,6.4,9.25
Poland,EUROPE,4,4.625,7.75,6.875,11.75
Denmark,EUROPE,4.125,7.8,5.9,8.5,7.656
Switzerland,EUROPE,5.125,7.75,8.5,5.2,7.05
Israel,EUROPE,7,6.75,6.25,8.75,2.875
Cyprus,EUROPE,4,4.125,5.1,3.75,10.562
Sweden,EUROPE,2.5,5.125,6.25,1.875,11.375
Croatia,EUROPE,5.9,6,3.375,5.875,5.875
Serbia,EUROPE,5.5,9.5,5.375,1.4,3.725
Ukraine,EUROPE,6.8,4.2,5.7,4.1,3.6
Hungary,EUROPE,4.25,2.75,5.875,4.5,6.625
Romania,EUROPE,3.75,2.25,6.25,3.25,7.75
Russia,EUROPE,4.333,5.3,4.333,4.333,4.333
Slovakia,EUROPE,1.5,4.125,6,5,4.625
Slovenia,EUROPE,2.25,3,2.125,3.875,9.093
Bulgaria,EUROPE,4,3.375,4.5,4.375,3.625
Azerbaijan,EUROPE,2.5,4.375,4,5.875,2.875
Republic of Ireland,EUROPE,1.875,2.875,3.375,1.5,5.343
Moldova,EUROPE,1.375,5.25,3.75,2,2.125
Iceland,EUROPE,0.625,1.5,3,3.833,4.562
Bosnia and Herzegovina,EUROPE,2.625,1.625,2,2.25,4.531
Armenia,EUROPE,1.375,1.875,2.375,2.25,4.375
Latvia,EUROPE,1.375,2.625,2.75,1.625,3.875
Kosovo,EUROPE,1.833,2.333,2.875,3,2
Finland,EUROPE,1.375,3.75,2.625,1.75,2.25
Kazakhstan,EUROPE,1,2.875,1.125,3.125,3
Faroe Islands,EUROPE,2.75,1.5,2.25,2.75,1.5
Malta,EUROPE,1.5,1.875,2.625,1.5,1
Northern Ireland,EUROPE,2.833,1.625,1.25,1.125,1.5
Lithuania,EUROPE,1.625,1.75,2.375,1.125,1.375
Estonia,EUROPE,1.375,3.666,1.166,0.125,1.625
Albania,EUROPE,2,1.625,0.875,2.125,1.25
Montenegro,EUROPE,1.625,0.75,1,1.333,2.5
Luxembourg,EUROPE,1,1.25,1.125,2.25,1.25
Wales,EUROPE,1.5,1.5,1.166,0.625,2
Georgia,EUROPE,1.75,1.25,1.125,1.25,1.25
North Macedonia,EUROPE,1.75,0.625,1.625,1.5,0.666
Belarus,EUROPE,1.5,0.25,0.625,1.75,1.875
Andorra,EUROPE,0.666,1.5,0.666,1.666,1
Gibraltar,EUROPE,1.666,1.25,0.875,0.166,1.5
San Marino,EUROPE,0.5,0.166,0.833,0.333,0.666
